chave_merge,uf,municipio_limpo,extensao_total_km,km_pavimentado,km_terra,presenca_rodovia_federal
AGUA BOA_MT,MT,AGUA BOA,1099.1,1099.1,0.0,1
ALTAMIRA_PA,PA,ALTAMIRA,831.7,831.7,0.0,1
ANAPOLIS_GO,GO,ANAPOLIS,1271.6,1271.6,0.0,1
ANASTACIO_MS,MS,ANASTACIO,509.3,509.3,0.0,1
ARACAJU_SE,SE,ARACAJU,421.6,421.6,0.0,1
ARAGARCAS_GO,GO,ARAGARCAS,338.9,338.9,0.0,1
ARAGUAINA_TO,TO,ARAGUAINA,510.1,510.1,0.0,1
ARCOVERDE_PE,PE,ARCOVERDE,532.4,532.4,0.0,1
BARAO DE GRAJAU_MA,MA,BARAO DE GRAJAU,678.2,678.2,0.0,1
BARREIRAS_BA,BA,BARREIRAS,1464.8,1464.8,0.0,1
BELEM_PA,PA,BELEM,48.900000000000006,48.900000000000006,0.0,1
BOA VIAGEM_CE,CE,BOA VIAGEM,660.7,660.7,0.0,1
BOA VISTA_RR,RR,BOA VISTA,1682.9,1682.9,0.0,1
BOM DESPACHO_MG,MG,BOM DESPACHO,723.0,723.0,0.0,1
BRASILIA_DF,DF,BRASILIA,362.9,362.9,0.0,1
BRASILIA_GO,GO,BRASILIA,326.0,326.0,0.0,1
CACERES_MT,MT,CACERES,991.9,991.9,0.0,1
CAMPINA GRANDE_PB,PB,CAMPINA GRANDE,609.9,609.9,0.0,1
CAMPO GRANDE_MS,MS,CAMPO GRANDE,573.2,573.2,0.0,1
CAMPO MOURAO_PR,PR,CAMPO MOURAO,627.5,627.5,0.0,1
CAMPO NOVO DOS PARECIS_MT,MT,CAMPO NOVO DOS PARECIS,662.7,662.7,0.0,1
CAMPO VERDE_MT,MT,CAMPO VERDE,445.40000000000003,445.40000000000003,0.0,1
CAMPOS_RJ,RJ,CAMPOS,535.5,535.5,0.0,1
CAPANEMA_PA,PA,CAPANEMA,1014.4,1014.4,0.0,1
CARATINGA_MG,MG,CARATINGA,464.3,464.3,0.0,1
CARUARU_PE,PE,CARUARU,482.5,482.5,0.0,1
CASTANHO_AM,AM,CASTANHO,797.8,797.8,0.0,1
CAXAMBU_MG,MG,CAXAMBU,444.0,444.0,0.0,1
CAXIAS_MA,MA,CAXIAS,552.5,552.5,0.0,1
CHAPECO_SC,SC,CHAPECO,378.2,378.2,0.0,1
COCOS_BA,BA,COCOS,561.7,561.7,0.0,1
COMODORO_MT,MT,COMODORO,167.0,167.0,0.0,1
CONTAGEM_MG,MG,CONTAGEM,613.0,613.0,0.0,1
COXIM_MS,MS,COXIM,1059.1,1059.1,0.0,1
CRUZ ALTA_RS,RS,CRUZ ALTA,938.1,938.1,0.0,1
CRUZ DAS ALMAS_BA,BA,CRUZ DAS ALMAS,784.1,784.1,0.0,1
CRUZEIRO DO SUL_AC,AC,CRUZEIRO DO SUL,360.5,360.5,0.0,1
CUIABA_MT,MT,CUIABA,966.1,966.1,0.0,1
CURRAIS NOVOS_RN,RN,CURRAIS NOVOS,357.0,357.0,0.0,1
DOURADOS_MS,MS,DOURADOS,975.7,975.7,0.0,1
EUCLIDES DA CUNHA_BA,BA,EUCLIDES DA CUNHA,720.8,720.8,0.0,1
EUNAPOLIS_BA,BA,EUNAPOLIS,593.1,593.1,0.0,1
FEIRA DE SANTANA_BA,BA,FEIRA DE SANTANA,1542.2,1542.2,0.0,1
FLORIANO_PI,PI,FLORIANO,1605.4,1605.4,0.0,1
FORMOSA_GO,GO,FORMOSA,463.8,463.8,0.0,1
FORTALEZA_CE,CE,FORTALEZA,479.6,479.6,0.0,1
FOZ DO IGUACU_PR,PR,FOZ DO IGUACU,677.0,677.0,0.0,1
GOVERNADOR VALADARES_MG,MG,GOVERNADOR VALADARES,673.5,673.5,0.0,1
GURUPI_TO,TO,GURUPI,932.1,932.1,0.0,1
HUMAITA_AM,AM,HUMAITA,1202.7,1202.7,0.0,1
ICO_CE,CE,ICO,429.1,429.1,0.0,1
