codigo,municipio_nome,uf,vab_agro,vab_industria,vab_servicos,pib_per_capita,municipio_limpo,chave_merge
1100015,Alta Floresta D'Oeste,RO,311468683.0,27845497.0,172434698.0,3261978.0,ALTA FLORESTA D'OESTE,ALTA FLORESTA D'OESTE_RO
1100023,Ariquemes,RO,293000779.0,407674509.0,1307976899.0,2889206.0,ARIQUEMES,ARIQUEMES_RO
1100031,Cabixi,RO,1366593.0,8117127.0,35865575.0,4705232.0,CABIXI,CABIXI_RO
1100049,Cacoal,RO,341314544.0,236801003.0,1200653615.0,3231469.0,CACOAL,CACOAL_RO
1100056,Cerejeiras,RO,151690475.0,27433023.0,308668019.0,4618732.0,CEREJEIRAS,CEREJEIRAS_RO
1100064,Colorado do Oeste,RO,123523517.0,2882732.0,124601082.0,2792651.0,COLORADO DO OESTE,COLORADO DO OESTE_RO
1100072,Corumbiara,RO,260728227.0,14013544.0,45391792.0,5625925.0,CORUMBIARA,CORUMBIARA_RO
1100080,Costa Marques,RO,116782743.0,6682944.0,53392482.0,164462.0,COSTA MARQUES,COSTA MARQUES_RO
1100098,Espigão D'Oeste,RO,202433801.0,5468228.0,221161996.0,2342911.0,ESPIGAO D'OESTE,ESPIGAO D'OESTE_RO
1100106,Guajará-Mirim,RO,77441552.0,4053801.0,436343879.0,2246441.0,GUAJARA-MIRIM,GUAJARA-MIRIM_RO
1100114,Jaru,RO,280710555.0,177622679.0,688454672.0,3428701.0,JARU,JARU_RO
1100122,Ji-Paraná,RO,206344829.0,502237665.0,1926052214.0,3228638.0,JI-PARANA,JI-PARANA_RO
1100130,Machadinho D'Oeste,RO,352193201.0,34663211.0,174794285.0,213383.0,MACHADINHO D'OESTE,MACHADINHO D'OESTE_RO
1100148,Nova Brasilândia D'Oeste,RO,228450895.0,25504877.0,114550697.0,2681685.0,NOVA BRASILANDIA D'OESTE,NOVA BRASILANDIA D'OESTE_RO
1100155,Ouro Preto do Oeste,RO,216209007.0,71310999.0,352571686.0,2781903.0,OURO PRETO DO OESTE,OURO PRETO DO OESTE_RO
1100189,Pimenta Bueno,RO,297492054.0,207693244.0,55081552.0,442779.0,PIMENTA BUENO,PIMENTA BUENO_RO
1100205,Porto Velho,RO,1041284612.0,4625035281.0,7555290353.0,3653532.0,PORTO VELHO,PORTO VELHO_RO
1100254,Presidente Médici,RO,183438443.0,50709564.0,140127735.0,3084005.0,PRESIDENTE MEDICI,PRESIDENTE MEDICI_RO
1100262,Rio Crespo,RO,115354219.0,756359.0,18756154.0,4799074.0,RIO CRESPO,RIO CRESPO_RO
1100288,Rolim de Moura,RO,194673218.0,171673943.0,606268102.0,2807709.0,ROLIM DE MOURA,ROLIM DE MOURA_RO
1100296,Santa Luzia D'Oeste,RO,106979911.0,13082702.0,33187597.0,3594585.0,SANTA LUZIA D'OESTE,SANTA LUZIA D'OESTE_RO
1100304,Vilhena,RO,67488042.0,369205556.0,1712252035.0,4033259.0,VILHENA,VILHENA_RO
1100320,São Miguel do Guaporé,RO,381638945.0,82318381.0,199587559.0,3911266.0,SAO MIGUEL DO GUAPORE,SAO MIGUEL DO GUAPORE_RO
1100338,Nova Mamoré,RO,344262837.0,2148129.0,12929919.0,2307625.0,NOVA MAMORE,NOVA MAMORE_RO
1100346,Alvorada D'Oeste,RO,147689219.0,11552751.0,72542819.0,2553992.0,ALVORADA D'OESTE,ALVORADA D'OESTE_RO
