UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,municipio_limpo,uf_limpa,chave_merge,DIESEL,FLEX
AC,ACRELANDIA,8654,1937,0,439,39,1003,98,0,6,14,4267,570,50,0,129,68,0,3,0,0,1,30,ACRELANDIA,AC,ACRELANDIA_AC,1113.0,3188.0
AC,ASSIS BRASIL,2556,443,0,29,1,251,22,0,5,5,1592,153,6,0,36,6,0,0,0,0,0,7,ASSIS BRASIL,AC,ASSIS BRASIL_AC,209.0,1223.0
AC,BRASILEIA,14467,3173,0,389,388,2061,199,0,8,18,6219,1072,26,0,239,604,0,6,0,0,3,62,BRASILEIA,AC,BRASILEIA_AC,1924.0,5794.0
AC,BUJARI,3536,884,0,156,60,473,26,0,9,6,1637,130,18,0,58,70,0,2,0,0,1,6,BUJARI,AC,BUJARI_AC,574.0,1463.0
AC,CAPIXABA,3475,954,0,99,10,391,29,0,12,3,1701,168,22,0,56,21,0,0,0,0,0,9,CAPIXABA,AC,CAPIXABA_AC,339.0,1421.0
AC,CRUZEIRO DO SUL,47991,9147,0,844,182,4342,663,0,45,63,21838,9946,90,0,164,370,0,53,0,0,17,227,CRUZEIRO DO SUL,AC,CRUZEIRO DO SUL_AC,3244.0,24558.0
AC,EPITACIOLANDIA,9175,2510,0,351,109,1382,172,0,7,15,3367,866,24,0,163,170,0,3,0,0,3,33,EPITACIOLANDIA,AC,EPITACIOLANDIA_AC,1201.0,3999.0
AC,FEIJO,6140,866,0,116,5,454,57,0,65,6,3487,973,10,0,43,12,0,4,0,0,26,16,FEIJO,AC,FEIJO_AC,395.0,3367.0
AC,JORDAO,287,22,0,6,0,40,2,0,0,2,154,59,1,0,1,0,0,0,0,0,0,0,JORDAO,AC,JORDAO_AC,28.0,169.0
AC,MANCIO LIMA,5171,891,0,99,6,432,40,0,4,5,2855,786,23,0,6,6,0,2,0,0,0,16,MANCIO LIMA,AC,MANCIO LIMA_AC,335.0,2412.0
AC,MANOEL URBANO,1955,345,0,56,1,248,17,0,3,2,1025,206,6,0,37,3,0,0,0,0,0,6,MANOEL URBANO,AC,MANOEL URBANO_AC,195.0,1063.0
AC,MARECHAL THAUMATURGO,687,20,0,13,0,51,1,0,1,0,493,98,7,0,0,0,0,0,0,0,2,1,MARECHAL THAUMATURGO,AC,MARECHAL THAUMATURGO_AC,36.0,380.0
AC,PLACIDO DE CASTRO,6477,1746,0,166,16,648,87,0,11,9,3002,583,28,0,117,34,2,4,0,0,6,18,PLACIDO DE CASTRO,AC,PLACIDO DE CASTRO_AC,609.0,2639.0
AC,PORTO ACRE,5586,1208,0,178,9,687,62,0,13,5,3055,231,45,0,68,12,0,6,0,0,1,6,PORTO ACRE,AC,PORTO ACRE_AC,662.0,2200.0
AC,PORTO WALTER,656,16,0,12,0,58,1,0,1,1,455,105,6,0,0,0,0,0,0,0,0,1,PORTO WALTER,AC,PORTO WALTER_AC,50.0,384.0
AC,RIO BRANCO,234337,79480,0,4729,714,20537,5607,0,938,404,92631,19790,993,0,4728,1310,24,353,0,3,145,1951,RIO BRANCO,AC,RIO BRANCO_AC,20544.0,107237.0
AC,RODRIGUES ALVES,2761,305,0,38,1,201,19,0,2,4,1665,503,12,0,2,0,0,0,0,0,0,9,RODRIGUES ALVES,AC,RODRIGUES ALVES_AC,135.0,1483.0
AC,SANTA ROSA DO PURUS,321,20,0,7,0,32,3,0,0,0,216,35,3,0,5,0,0,0,0,0,0,0,SANTA ROSA DO PURUS,AC,SANTA ROSA DO PURUS_AC,33.0,143.0
AC,SENA MADUREIRA,13229,2125,0,151,20,1328,137,0,41,5,6792,2391,12,0,131,34,0,3,0,0,2,57,SENA MADUREIRA,AC,SENA MADUREIRA_AC,1080.0,6662.0
AC,SENADOR GUIOMARD,9361,2816,0,361,84,936,135,0,34,14,3838,718,43,0,232,106,1,4,0,0,3,36,SENADOR GUIOMARD,AC,SENADOR GUIOMARD_AC,1028.0,3996.0
AC,TARAUACA,7447,852,0,174,27,613,75,0,10,15,3627,1904,18,0,38,54,0,0,0,0,10,30,TARAUACA,AC,TARAUACA_AC,596.0,4001.0
AC,XAPURI,6198,972,0,107,9,599,63,0,6,4,3836,482,12,0,62,21,1,1,0,0,3,20,XAPURI,AC,XAPURI_AC,549.0,2844.0
AL,AGUA BRANCA,6608,1472,0,166,7,567,119,0,17,136,3770,231,38,0,55,12,0,6,0,1,0,11,AGUA BRANCA,AL,AGUA BRANCA_AL,823.0,2750.0
AL,ANADIA,4117,1461,0,74,3,245,112,0,9,38,1717,273,57,0,105,3,0,0,0,0,0,20,ANADIA,AL,ANADIA_AL,258.0,1909.0
AL,ARAPIRACA,155097,45791,0,3611,647,8936,3898,0,2134,551,61506,20534,804,0,3675,887,9,41,0,3,43,2027,ARAPIRACA,AL,ARAPIRACA_AL,9970.0,71347.0
